model,max_mph
737-7Q8,805.5555555555555
CL-600-2D24,720.0
A321-211,677.9381443298969
737-832,648.695652173913
737-8,580.253164556962
777-223,563.2758620689655
737-900ER,560.7017543859649
A321-231,560.7017543859649
A320-232,555.6521739130435
737-924ER,554.4827586206897
A321-271NX,554.2196531791908
787-10,553.5338345864661
767-424ER,551.3142857142857
737-932ER,551.0344827586207
757-251,550.1694915254237
757-232,544.022346368715
A319-115,544.022346368715
767-332,541.970802919708
777-222,541.3235294117648
737-71Q,538.6813186813187
